Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-14,21:46,15,26937,1595421,1070109,0.001,139.298,25.75,3.19
2019-10-14,21:46,15,26937,1595187,1070484,0.001,139.313,25.75,3.19
2019-10-14,21:46,15,26937,1594968,1070562,0.001,139.316,26.00,3.19
2019-12-12,17:34,15,75234,1553937,1023968,0.001,95.887,8.00,3.11
2019-12-12,17:35,15,26984,1557828,1028859,0.001,137.484,10.50,3.12
2019-12-12,15:39,95921,766171,1560234,1029843,9.314,2.699,11.00,3.12
2019-12-12,15:40,95750,764953,1561656,1027968,9.314,2.682,11.25,3.12
2019-12-12,16:40,93687,766359,1561562,1006218,9.311,0.876,2.00,3.12
2019-12-12,17:40,93250,772703,1561656,1001625,9.310,-0.168,0.25,3.12
2019-12-12,18:40,93968,749796,1562156,1008296,9.319,2.734,2.75,3.12
2019-12-12,19:40,94109,742953,1561546,1009859,9.319,3.533,3.50,3.12
2019-12-12,20:40,94140,738625,1560453,1010140,9.320,3.981,3.50,3.12
2019-12-12,21:40,94109,747281,1559312,1009625,9.321,3.085,3.50,3.12
2019-12-12,22:40,94046,746343,1558203,1009031,9.320,3.135,3.25,3.12
2019-12-12,23:40,94046,743750,1557062,1009015,9.321,3.392,3.25,3.11
2019-12-13,0:40,94109,755953,1555812,1008062,9.336,2.093,3.00,3.11
2019-12-13,1:40,93937,750031,1554546,1007156,9.327,2.625,2.50,3.11
2019-12-13,2:40,94015,747171,1553593,1007812,9.329,2.962,2.75,3.11
2019-12-13,3:40,26921,748265,1552531,1008328,2.670,2.890,3.00,3.11
2019-12-13,4:40,26921,744265,1551265,1006953,2.674,3.189,2.50,3.10
2019-12-13,5:40,26843,754531,1550312,1007421,2.665,2.189,2.75,3.10
2019-12-13,6:40,26890,748609,1549312,1006781,2.671,2.740,2.25,3.10
2019-12-13,7:40,26984,741640,1548328,1007203,2.679,3.469,2.75,3.10
2019-12-13,8:40,27812,717968,1549187,1022750,2.719,6.820,9.00,3.10
2019-12-13,9:40,28015,713437,1548078,1026109,2.730,7.456,10.25,3.10
2019-12-13,10:40,28015,712437,1546406,1024484,2.735,7.444,9.25,3.09
2019-12-13,11:40,27875,716156,1545125,1023937,2.722,7.065,9.00,3.09
2019-12-13,12:40,27765,716796,1543734,1020890,2.720,6.807,7.75,3.09
2019-12-13,13:40,27734,715343,1542687,1019109,2.721,6.826,7.25,3.09
2019-12-13,14:40,27656,721468,1541796,1019812,2.712,6.298,7.50,3.08
2019-12-13,15:40,27312,734484,1540687,1016843,2.686,4.858,6.75,3.08
2019-12-13,16:40,27078,740515,1539156,1011156,2.678,3.868,4.25,3.08
2019-12-13,17:40,26984,745656,1538203,1009843,2.672,3.263,3.75,3.08
2019-12-13,18:40,26906,747250,1537046,1007937,2.669,2.963,3.00,3.07
2019-12-13,19:40,26937,745593,1536281,1007703,2.673,3.112,3.00,3.07
2019-12-13,20:40,26703,768921,1535062,1004484,2.658,0.468,1.75,3.07
2019-12-13,21:40,26625,767125,1533390,999343,2.664,0.241,-0.25,3.07
2019-12-13,22:40,26734,756828,1532984,1002031,2.668,1.537,1.00,3.07
2019-12-13,23:40,26796,751375,1532218,1002921,2.672,2.167,1.50,3.06
2019-12-14,0:40,26765,755468,1531390,1003453,2.667,1.788,1.50,3.06
2019-12-14,1:40,26875,747328,1530765,1006265,2.671,2.831,2.25,3.06
2019-12-14,2:40,27031,740828,1530343,1009156,2.679,3.692,3.75,3.06
2019-12-14,3:40,27000,746859,1529562,1010453,2.672,3.188,4.00,3.06
2019-12-14,4:40,27109,738031,1528640,1010515,2.683,4.066,4.00,3.06
2019-12-14,5:40,27031,740562,1527578,1008656,2.680,3.682,3.50,3.06
2019-12-14,6:40,26906,745593,1526421,1006093,2.674,2.992,2.50,3.05
2019-12-14,7:40,26984,743406,1525750,1007656,2.678,3.327,2.75,3.05
2019-12-14,8:40,27750,722921,1526406,1022609,2.714,6.348,9.00,3.05
2019-12-14,9:40,27593,723906,1525296,1019921,2.705,6.076,7.75,3.05
2019-12-14,10:40,28093,709671,1524765,1024859,2.741,7.723,9.50,3.05
2019-12-14,11:40,29328,680062,1524109,1026718,2.856,10.513,10.50,3.05
2019-12-14,12:40,28625,693171,1522890,1023843,2.796,9.164,9.50,3.05
2019-12-14,13:40,28109,704828,1521781,1020750,2.754,7.907,8.00,3.04
2019-12-14,14:40,27421,729828,1520796,1016140,2.699,5.256,6.25,3.04
2019-12-14,15:40,27390,728203,1519890,1014421,2.700,5.294,5.50,3.04
2019-12-14,16:40,27234,737687,1519234,1014187,2.685,4.361,5.50,3.04
2019-12-14,17:40,27250,735718,1518515,1014140,2.687,4.549,5.50,3.04
2019-12-14,18:40,27234,735937,1517781,1013593,2.687,4.489,5.00,3.04
2019-12-14,19:40,27250,733531,1517093,1013468,2.689,4.714,5.25,3.03
2019-12-14,20:40,27125,739703,1516328,1011875,2.681,3.999,4.75,3.03
2019-12-14,21:40,27125,740578,1515609,1012046,2.680,3.926,4.50,3.03
2019-12-14,22:40,27078,743500,1514843,1011250,2.678,3.580,4.50,3.03
2019-12-14,23:40,27015,745734,1514078,1009734,2.675,3.248,4.00,3.03
2019-12-15,0:40,26906,750656,1513234,1007437,2.671,2.583,3.00,3.03
2019-12-15,1:40,26875,752671,1512500,1007093,2.669,2.353,3.00,3.03
2019-12-15,2:40,26968,747109,1511984,1009062,2.673,3.061,3.50,3.02
2019-12-15,3:40,26937,748125,1511187,1007734,2.673,2.860,3.00,3.02
2019-12-15,4:40,26875,752515,1510546,1007281,2.668,2.383,3.00,3.02
2019-12-15,5:40,26843,754296,1509796,1006250,2.668,2.124,2.75,3.02
2019-12-15,6:40,26687,766125,1508500,1001140,2.666,0.493,0.75,3.02
2019-12-15,7:40,26687,763609,1507812,999796,2.669,0.650,0.50,3.02
2019-12-15,8:40,26937,747312,1508062,1008140,2.672,2.972,3.25,3.02
2019-12-15,9:40,27109,735250,1507593,1009468,2.685,4.264,4.00,3.02
2019-12-15,10:40,27593,714578,1507312,1014203,2.721,6.574,5.50,3.01
2019-12-15,11:40,27640,714828,1507000,1016328,2.720,6.691,6.75,3.01
2019-12-15,12:40,27796,710640,1506406,1017609,2.732,7.167,6.75,3.01
2019-12-15,13:40,27734,711750,1505718,1016765,2.728,7.008,6.75,3.01
2019-12-15,14:40,27468,725234,1505171,1017250,2.700,5.770,7.00,3.01
2019-12-15,15:40,27203,736421,1504343,1013656,2.684,4.447,5.50,3.01
2019-12-15,16:40,26890,750968,1503156,1008328,2.667,2.619,3.25,3.01
2019-12-15,17:40,26750,756500,1502140,1003140,2.667,1.658,1.75,3.00
2019-12-15,18:40,26718,758984,1501484,1002328,2.666,1.337,1.25,3.00
2019-12-15,19:40,26562,771859,1500703,999593,2.657,-0.246,0.50,3.00
2019-12-15,20:40,26531,777812,1499796,997328,2.660,-1.085,-0.50,3.00
2019-12-15,21:40,26437,784046,1498578,992031,2.665,-2.245,-2.00,3.00
2019-12-15,22:40,26406,784421,1497703,990062,2.667,-2.465,-2.75,3.00
2019-12-15,23:40,26359,791015,1496906,988546,2.666,-3.368,-3.25,2.99
2019-12-16,0:40,26281,798250,1495390,983250,2.673,-4.742,-5.00,2.99
2019-12-16,1:40,26265,799031,1494531,982171,2.674,-4.944,-5.25,2.99
2019-12-16,2:40,26218,803437,1493375,978484,2.679,-5.868,-6.25,2.99
2019-12-16,3:40,26187,806656,1492296,976796,2.681,-6.456,-7.00,2.98
2019-12-16,4:40,26156,808343,1491250,974500,2.684,-6.921,-7.75,2.98
2019-12-16,5:40,26156,808640,1490343,973750,2.686,-7.041,-8.00,2.98
2019-12-16,6:40,26125,810500,1489468,971828,2.688,-7.499,-8.25,2.98
2019-12-16,7:40,26125,806671,1488625,971687,2.689,-7.008,-8.50,2.98
2019-12-16,8:40,26421,795218,1491328,989656,2.670,-3.757,-2.25,2.98
2019-12-16,9:40,26562,781312,1492875,1000562,2.655,-1.192,1.00,2.99
2019-12-16,10:40,26500,777484,1491562,995187,2.663,-1.233,-1.00,2.98
2019-12-16,11:40,26500,784796,1491312,995984,2.661,-1.978,-0.75,2.98
2019-12-16,12:40,26421,784828,1489828,991125,2.666,-2.416,-2.25,2.98
2019-12-16,13:40,26453,777437,1489265,990906,2.670,-1.600,-2.25,2.98
2019-12-16,14:40,26437,787984,1489015,992093,2.665,-2.689,-2.00,2.98
2019-12-16,15:40,26359,797062,1488171,989468,2.664,-3.993,-2.75,2.98
2019-12-16,16:40,26250,801859,1486359,981671,2.674,-5.344,-5.50,2.97
2019-12-16,17:40,26203,805406,1485000,977421,2.681,-6.229,-6.75,2.97
2019-12-16,18:40,26171,806234,1483937,975250,2.684,-6.566,-7.50,2.97
2019-12-16,19:40,26125,811781,1482531,970750,2.691,-7.791,-8.50,2.97
2019-12-16,20:40,26062,817000,1481250,966078,2.698,-9.050,-9.75,2.96
2019-12-16,21:40,26031,817031,1480078,963875,2.701,-9.318,-10.50,2.96
2019-12-16,22:40,26046,815453,1479500,964265,2.701,-9.048,-10.50,2.96
2019-12-16,23:40,26015,816750,1478796,962718,2.702,-9.418,-10.50,2.96
2019-12-17,0:40,26015,817937,1477828,961171,2.707,-9.777,-11.00,2.96
2019-12-17,1:40,26031,815484,1477375,962046,2.706,-9.319,-10.75,2.95
2019-12-17,2:40,26031,820500,1476734,961328,2.708,-10.131,-10.75,2.95
2019-12-17,3:40,26000,822593,1475546,958468,2.713,-10.803,-11.75,2.95
2019-12-17,4:40,25984,824750,1474546,956703,2.716,-11.360,-12.25,2.95
2019-12-17,5:40,25968,823125,1473609,955421,2.718,-11.281,-12.50,2.95
2019-12-17,6:40,25953,823046,1472515,953140,2.723,-11.571,-13.00,2.95
2019-12-17,7:40,25984,816546,1472359,955609,2.719,-10.267,-12.50,2.94
2019-12-17,8:40,26390,808406,1477656,987343,2.673,-5.581,-2.75,2.96
2019-12-17,9:40,26484,803390,1479890,997812,2.654,-3.947,0.00,2.96
2019-12-17,10:40,26390,795000,1478625,990796,2.664,-3.624,-2.25,2.96
2019-12-17,11:40,26406,789484,1478421,990390,2.666,-3.018,-2.50,2.96
2019-12-17,12:40,26390,786765,1477484,988109,2.671,-2.913,-3.25,2.95
2019-12-17,13:40,26390,784156,1477093,988906,2.669,-2.540,-3.00,2.95
2019-12-17,14:40,26468,783781,1477171,993078,2.665,-2.121,-1.50,2.95
2019-12-17,15:40,26406,791515,1476781,991125,2.664,-3.185,-2.00,2.95
2019-12-17,16:40,26265,798406,1475031,982734,2.673,-4.812,-5.00,2.95
2019-12-17,17:40,26171,807328,1473187,975265,2.683,-6.706,-7.25,2.95
2019-12-17,18:40,26109,809500,1471796,970609,2.690,-7.501,-8.50,2.94
2019-12-17,19:40,26093,812078,1470796,967937,2.696,-8.151,-9.25,2.94
2019-12-17,20:40,26109,806265,1470312,968546,2.696,-7.299,-9.00,2.94
2019-12-17,21:40,26156,800906,1470531,973031,2.688,-6.116,-7.75,2.94
2019-12-17,22:40,26156,805218,1470343,973312,2.687,-6.642,-7.50,2.94
2019-12-17,23:40,26093,816046,1469015,968203,2.695,-8.666,-9.25,2.94
2019-12-18,0:40,26078,812234,1468468,968015,2.694,-8.163,-9.00,2.94
2019-12-18,1:40,26078,814750,1467859,967375,2.696,-8.583,-9.25,2.94
2019-12-18,2:40,26093,806984,1467218,967156,2.698,-7.550,-9.50,2.93
2019-12-18,3:40,26093,809359,1467062,967843,2.696,-7.793,-9.00,2.93
2019-12-18,4:40,26078,812656,1466421,967203,2.696,-8.315,-9.50,2.93
2019-12-18,5:40,26093,808765,1466000,968031,2.695,-7.691,-9.25,2.93
2019-12-18,6:40,26062,811625,1465250,966312,2.697,-8.276,-9.50,2.93
2019-12-18,7:40,26078,806953,1464750,966125,2.699,-7.662,-9.50,2.93
2019-12-18,8:40,26718,782968,1470203,1003687,2.662,-1.106,3.00,2.94
2019-12-18,9:40,26875,769500,1472375,1013531,2.652,1.127,6.00,2.94
2019-12-18,10:40,27000,751515,1472203,1012015,2.668,2.839,5.00,2.94
2019-12-18,11:40,26937,746656,1471750,1007578,2.673,2.996,3.50,2.94
2019-12-18,12:40,26890,745328,1471062,1005843,2.673,3.000,2.75,2.94
2019-12-18,13:40,26875,745234,1470609,1004765,2.675,2.929,2.75,2.94
2019-12-18,14:40,27000,742765,1470500,1007968,2.679,3.413,3.75,2.94
2019-12-18,15:40,26625,768203,1469484,1000062,2.662,0.184,1.00,2.94
2019-12-18,16:40,26437,780906,1468187,992796,2.663,-1.823,-1.50,2.94
