Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-14,21:9,15,26921,1592546,1087312,0.001,140.033,23.00,3.19
2019-10-14,21:9,15,26937,1592656,1087656,0.001,140.020,23.00,3.19
2019-10-14,21:9,15,26937,1592968,1087515,0.001,140.014,23.25,3.19
2019-12-12,17:41,0,26234,1538812,1036468,0.000,139.054,4.75,3.08
2019-12-12,15:43,79531,774531,1540859,1042296,7.630,2.788,6.75,3.08
2019-12-12,15:43,79609,775859,1542562,1042578,7.636,2.679,7.50,3.09
2019-12-12,16:43,78093,780359,1546343,1027031,7.604,1.065,0.75,3.09
2019-12-12,17:43,77750,783734,1546156,1022953,7.601,0.398,-0.50,3.09
2019-12-12,18:43,78281,764171,1546796,1030750,7.595,2.962,2.00,3.09
2019-12-12,19:43,78312,764187,1546125,1031906,7.589,3.045,2.50,3.09
2019-12-12,20:43,78359,758609,1545062,1032437,7.590,3.625,2.50,3.09
2019-12-12,21:43,78203,760828,1543984,1032078,7.577,3.385,2.50,3.09
2019-12-12,22:43,78046,766203,1542906,1032218,7.561,2.870,2.25,3.09
2019-12-12,23:43,77890,764906,1541859,1031187,7.553,2.922,2.25,3.08
2019-12-13,0:43,77734,771859,1540625,1029718,7.549,2.126,1.75,3.08
2019-12-13,1:43,77484,767968,1539453,1029296,7.528,2.482,1.75,3.08
2019-12-13,2:43,77484,763734,1538515,1030000,7.523,2.951,2.00,3.08
2019-12-13,3:43,77453,763968,1537421,1029843,7.521,2.916,2.00,3.07
2019-12-13,4:43,77343,761593,1536156,1028625,7.519,3.061,1.50,3.07
2019-12-13,5:43,77343,768843,1535218,1028640,7.519,2.346,1.50,3.07
2019-12-13,6:43,77343,764453,1534125,1028640,7.519,2.781,1.50,3.07
2019-12-13,7:43,77390,758328,1533187,1029484,7.517,3.442,1.75,3.07
2019-12-13,8:43,78078,729796,1533328,1038000,7.522,6.716,5.00,3.07
2019-12-13,9:43,78703,713765,1533046,1045718,7.526,8.650,8.00,3.07
2019-12-13,10:43,79421,715437,1532781,1054718,7.530,9.044,11.25,3.07
2019-12-13,11:43,79421,711781,1531375,1055765,7.523,9.427,11.75,3.06
2019-12-13,12:43,79593,719015,1530515,1058734,7.518,8.969,12.75,3.06
2019-12-13,13:43,78640,730609,1528312,1046375,7.515,7.178,8.00,3.06
2019-12-13,14:43,78187,736687,1526890,1040437,7.515,6.240,6.00,3.05
2019-12-13,15:43,77937,747468,1525875,1037140,7.515,5.016,4.50,3.05
2019-12-13,16:43,77625,757109,1524671,1033453,7.511,3.842,3.25,3.05
2019-12-13,17:43,77531,759796,1523859,1032390,7.510,3.507,3.00,3.05
2019-12-13,18:43,77296,762187,1522703,1029921,7.505,3.097,2.00,3.05
2019-12-13,19:43,77328,760843,1521984,1030187,7.506,3.247,2.00,3.04
2019-12-13,20:43,77031,780187,1520718,1026843,7.502,1.068,0.75,3.04
2019-12-13,21:43,76687,780375,1519187,1022953,7.497,0.745,-0.75,3.04
2019-12-13,22:43,76906,771531,1518828,1025718,7.498,1.859,0.50,3.04
2019-12-13,23:43,76921,769031,1518156,1025812,7.499,2.116,1.00,3.04
2019-12-14,0:43,76937,769453,1517296,1026234,7.497,2.106,0.75,3.03
2019-12-14,1:43,77109,763125,1516828,1028500,7.497,2.901,1.50,3.03
2019-12-14,2:43,77359,753734,1516468,1031953,7.496,4.061,3.00,3.03
2019-12-14,3:43,77359,760578,1515750,1032531,7.492,3.441,2.75,3.03
2019-12-14,4:43,77359,753203,1514890,1032562,7.492,4.155,3.00,3.03
2019-12-14,5:43,77234,758468,1513828,1031062,7.491,3.541,2.25,3.03
2019-12-14,6:43,76984,765250,1512687,1027796,7.490,2.640,1.25,3.03
2019-12-14,7:43,77156,757687,1512109,1029812,7.492,3.528,2.00,3.02
2019-12-14,8:43,77859,731609,1512437,1038328,7.498,6.571,5.50,3.02
2019-12-14,9:43,78125,740062,1511953,1041187,7.503,5.978,6.25,3.02
2019-12-14,10:43,78796,705921,1512140,1049718,7.506,9.584,9.50,3.02
2019-12-14,11:43,79171,674625,1511437,1053250,7.517,12.496,11.00,3.02
2019-12-14,12:43,78765,704218,1510250,1048125,7.515,9.639,9.00,3.02
2019-12-14,13:43,78234,720281,1508859,1041875,7.509,7.829,6.75,3.02
2019-12-14,14:43,77859,737328,1507734,1037890,7.502,6.014,4.75,3.02
2019-12-14,15:43,77734,740015,1506953,1036734,7.498,5.687,4.75,3.01
2019-12-14,16:43,77671,747015,1506250,1035718,7.499,4.962,4.50,3.01
2019-12-14,17:43,77687,746031,1505593,1035859,7.500,5.064,4.50,3.01
2019-12-14,18:43,77640,744843,1504890,1035281,7.499,5.137,4.25,3.01
2019-12-14,19:43,77656,746953,1504171,1035687,7.498,4.966,4.25,3.01
2019-12-14,20:43,77546,750921,1503390,1033968,7.500,4.471,3.75,3.01
2019-12-14,21:43,77578,752656,1502703,1034375,7.500,4.334,3.75,3.01
2019-12-14,22:43,77468,758203,1501906,1032968,7.500,3.702,3.25,3.00
2019-12-14,23:43,77343,758671,1501093,1032015,7.494,3.589,3.00,3.00
2019-12-15,0:43,77218,761281,1500156,1030281,7.495,3.211,2.25,3.00
2019-12-15,1:43,77093,763609,1499437,1028812,7.493,2.876,2.00,3.00
2019-12-15,2:43,77265,758125,1499062,1030421,7.498,3.529,2.75,3.00
2019-12-15,3:43,77234,762156,1498234,1029828,7.500,3.093,2.25,3.00
2019-12-15,4:43,77156,765250,1497531,1029140,7.497,2.739,2.00,3.00
2019-12-15,5:43,77031,768171,1496734,1027968,7.494,2.363,1.50,2.99
2019-12-15,6:43,76562,777078,1495265,1022515,7.488,1.050,-0.50,2.99
2019-12-15,7:43,76562,774593,1494609,1022046,7.491,1.268,-0.50,2.99
2019-12-15,8:43,77062,759625,1494937,1027984,7.496,3.207,1.75,2.99
2019-12-15,9:43,77296,747359,1494687,1030296,7.502,4.557,2.50,2.99
2019-12-15,10:43,77906,719359,1495093,1038000,7.505,7.670,5.50,2.99
2019-12-15,11:43,78625,714562,1495250,1046671,7.512,8.637,8.25,2.99
2019-12-15,12:43,78953,698484,1495265,1050812,7.514,10.299,9.75,2.99
2019-12-15,13:43,78218,726953,1493843,1041421,7.511,7.196,6.50,2.99
2019-12-15,14:43,77921,739015,1492875,1038046,7.507,5.868,5.25,2.99
2019-12-15,15:43,77625,749781,1491890,1034281,7.505,4.601,4.00,2.98
2019-12-15,16:43,77281,765406,1490718,1030156,7.502,2.798,2.25,2.98
2019-12-15,17:43,76921,771234,1489609,1026062,7.497,1.914,1.00,2.98
2019-12-15,18:43,76765,773937,1488781,1024718,7.491,1.540,0.50,2.98
2019-12-15,19:43,76593,786640,1487765,1021937,7.495,0.014,-0.75,2.98
2019-12-15,20:43,76343,790875,1486765,1019078,7.491,-0.667,-1.50,2.97
2019-12-15,21:43,76000,798984,1485296,1015125,7.487,-1.879,-3.00,2.97
2019-12-15,22:43,75781,799250,1484328,1012625,7.484,-2.126,-3.50,2.97
2019-12-15,23:43,75609,804984,1483437,1010500,7.482,-2.958,-4.25,2.97
2019-12-16,0:43,75281,811156,1481843,1006421,7.480,-4.045,-5.75,2.96
2019-12-16,1:43,75171,815062,1480828,1005000,7.480,-4.641,-6.25,2.96
2019-12-16,2:43,74890,819343,1479484,1001281,7.479,-5.523,-7.00,2.96
2019-12-16,3:43,74718,822109,1478281,998937,7.480,-6.101,-7.75,2.96
2019-12-16,4:43,74625,824937,1477125,997875,7.478,-6.566,-8.50,2.95
2019-12-16,5:43,74515,825375,1476296,996140,7.480,-6.804,-8.75,2.95
2019-12-16,6:43,74375,826765,1475218,994984,7.475,-7.105,-9.25,2.95
2019-12-16,7:43,74375,820625,1474609,994421,7.479,-6.382,-9.00,2.95
2019-12-16,8:43,75343,797750,1476968,1005515,7.493,-2.588,-5.50,2.95
2019-12-16,9:43,76703,777843,1479859,1022828,7.499,0.996,-0.75,2.96
2019-12-16,10:43,77453,783250,1481640,1032234,7.503,1.173,2.50,2.96
2019-12-16,11:43,76390,791890,1479125,1018625,7.499,-0.813,-1.75,2.96
2019-12-16,12:43,76015,803203,1477640,1014343,7.494,-2.414,-3.00,2.96
2019-12-16,13:43,76109,793640,1477093,1015062,7.498,-1.301,-2.75,2.95
2019-12-16,14:43,75984,804406,1476328,1013406,7.498,-2.632,-3.50,2.95
2019-12-16,15:43,75593,810328,1474796,1008796,7.493,-3.726,-4.75,2.95
2019-12-16,16:43,75171,818562,1473046,1004062,7.487,-5.152,-6.25,2.95
2019-12-16,17:43,74796,821437,1471406,999781,7.481,-5.932,-7.50,2.94
2019-12-16,18:43,74640,822046,1470312,997640,7.482,-6.227,-8.00,2.94
2019-12-16,19:43,74328,829156,1468640,993656,7.480,-7.558,-9.25,2.94
2019-12-16,20:43,73984,834671,1466640,989421,7.478,-8.767,-10.50,2.93
2019-12-16,21:43,73875,834046,1465453,987500,7.481,-8.903,-11.00,2.93
2019-12-16,22:43,73937,832625,1465015,988203,7.482,-8.629,-10.75,2.93
2019-12-16,23:43,73906,834718,1464140,987265,7.486,-9.022,-11.25,2.93
2019-12-17,0:43,73781,835109,1463046,985515,7.487,-9.281,-11.50,2.93
2019-12-17,1:43,73828,834187,1462687,986156,7.486,-9.079,-11.25,2.93
2019-12-17,2:43,73765,838562,1461859,985093,7.488,-9.815,-11.75,2.92
2019-12-17,3:43,73546,839875,1460359,981781,7.491,-10.407,-12.50,2.92
2019-12-17,4:43,73437,842109,1459265,980671,7.488,-10.871,-12.75,2.92
2019-12-17,5:43,73343,839890,1458312,979625,7.487,-10.677,-13.00,2.92
2019-12-17,6:43,73171,840578,1457171,977656,7.484,-11.027,-13.50,2.91
2019-12-17,7:43,73312,832796,1457187,980593,7.476,-9.542,-12.75,2.91
2019-12-17,8:43,74625,809031,1462062,998296,7.475,-4.570,-7.75,2.92
2019-12-17,9:43,76468,804984,1467000,1020765,7.491,-2.050,-1.25,2.93
2019-12-17,10:43,77562,811703,1470265,1034593,7.497,-1.599,3.50,2.94
2019-12-17,11:43,77625,807078,1469734,1034921,7.501,-1.079,3.50,2.94
2019-12-17,12:43,77796,787921,1470031,1036968,7.502,1.064,4.00,2.94
2019-12-17,13:43,76562,807953,1467921,1021406,7.496,-2.321,-0.75,2.94
2019-12-17,14:43,76031,801062,1465750,1014421,7.495,-2.170,-3.00,2.93
2019-12-17,15:43,75718,804437,1464656,1010328,7.494,-2.911,-4.25,2.93
2019-12-17,16:43,75343,815531,1463046,1005359,7.494,-4.662,-5.75,2.93
2019-12-17,17:43,74828,824812,1460796,998296,7.496,-6.506,-7.75,2.92
2019-12-17,18:43,74625,828484,1459000,995859,7.494,-7.232,-9.00,2.92
2019-12-17,19:43,74359,828984,1457640,991546,7.499,-7.767,-9.50,2.92
2019-12-17,20:43,74484,824015,1457375,993281,7.499,-6.933,-9.25,2.91
2019-12-17,21:43,74796,820609,1458062,997484,7.498,-6.063,-8.00,2.92
2019-12-17,22:43,74843,821062,1457703,998390,7.496,-6.027,-8.00,2.92
2019-12-17,23:43,74390,831468,1455546,992171,7.498,-8.026,-9.75,2.91
2019-12-18,0:43,74453,827609,1455234,992921,7.498,-7.436,-9.50,2.91
2019-12-18,1:43,74421,830468,1454515,992531,7.498,-7.854,-9.75,2.91
2019-12-18,2:43,74437,823703,1454109,992750,7.498,-6.949,-9.25,2.91
2019-12-18,3:43,74546,826265,1454000,994296,7.497,-7.114,-9.25,2.91
2019-12-18,4:43,74328,828156,1453093,991296,7.498,-7.685,-9.75,2.91
2019-12-18,5:43,74437,827234,1452765,992546,7.500,-7.428,-9.25,2.91
2019-12-18,6:43,74343,828593,1451968,991734,7.496,-7.695,-9.75,2.90
2019-12-18,7:43,74296,823359,1451421,992281,7.487,-6.955,-9.50,2.90
2019-12-18,8:43,75734,782312,1456250,1011390,7.488,-0.389,-3.50,2.91
2019-12-18,9:43,77890,759093,1460734,1038296,7.502,3.992,5.50,2.92
2019-12-18,10:43,78750,756718,1463750,1049203,7.506,4.964,9.25,2.93
2019-12-18,11:43,78562,734687,1462937,1046609,7.506,6.822,8.25,2.93
2019-12-18,12:43,78421,729671,1462843,1044312,7.509,7.132,7.25,2.93
2019-12-18,13:43,77593,763968,1461343,1033343,7.509,3.170,3.50,2.92
2019-12-18,14:43,77203,767953,1460015,1029031,7.502,2.464,2.00,2.92
2019-12-18,15:43,76593,784937,1458421,1021062,7.501,0.121,-0.75,2.92
2019-12-18,16:43,76171,798140,1456859,1016046,7.497,-1.707,-2.50,2.91
2019-12-18,17:43,75687,804390,1454968,1009796,7.495,-2.954,-4.25,2.91
2019-12-18,18:43,75578,802328,1454156,1008828,7.492,-2.808,-4.50,2.91
2019-12-18,19:43,75593,806562,1453656,1008937,7.492,-3.279,-4.75,2.91
2019-12-18,20:43,75359,813203,1452515,1005734,7.493,-4.350,-5.75,2.91
2019-12-18,21:43,75078,815968,1450859,1002453,7.489,-4.997,-6.75,2.90
2019-12-18,22:43,75203,812234,1450843,1003562,7.494,-4.443,-6.00,2.90
2019-12-18,23:43,75140,813312,1450312,1003140,7.490,-4.612,-6.50,2.90
2019-12-19,0:43,75187,814062,1449968,1003187,7.495,-4.697,-6.25,2.90
2019-12-19,1:43,75000,819546,1448640,1000921,7.493,-5.583,-7.00,2.90
2019-12-19,2:43,74796,822250,1447250,997609,7.498,-6.256,-8.00,2.89
2019-12-19,3:43,74796,822359,1446734,997375,7.499,-6.293,-8.00,2.89
2019-12-19,4:43,74796,818843,1446359,997531,7.498,-5.839,-7.75,2.89
2019-12-19,5:43,75015,814296,1446890,1001359,7.491,-4.903,-6.75,2.89
2019-12-19,6:43,74906,820875,1445984,999546,7.494,-5.886,-7.50,2.89
2019-12-19,7:43,74875,813265,1445375,999062,7.495,-5.004,-7.50,2.89
2019-12-19,8:43,76093,766406,1449156,1014625,7.500,1.530,-2.50,2.90
2019-12-19,9:43,76546,784671,1450328,1020828,7.498,0.130,-1.00,2.90
2019-12-19,10:43,77359,756250,1452000,1030671,7.506,3.728,2.50,2.90
2019-12-19,11:43,77468,759953,1452265,1032203,7.505,3.479,2.75,2.90
2019-12-19,12:43,77359,760421,1451750,1031046,7.503,3.350,2.50,2.90
2019-12-19,13:43,77046,763515,1451093,1026859,7.503,2.743,1.25,2.90
2019-12-19,14:43,76765,780671,1449937,1022953,7.504,0.715,0.25,2.90
2019-12-19,15:43,76187,796421,1448171,1016187,7.497,-1.507,-2.25,2.90
2019-12-19,16:43,75703,806453,1446078,1010156,7.494,-3.156,-4.25,2.89
2019-12-19,17:43,75343,809515,1444343,1005531,7.493,-3.937,-5.50,2.89
2019-12-19,18:43,75312,810812,1443937,1005296,7.492,-4.110,-5.50,2.89
2019-12-19,19:43,75437,806859,1443656,1006593,7.494,-3.529,-5.25,2.89
2019-12-19,20:43,75421,807609,1443406,1006312,7.495,-3.642,-5.25,2.89
2019-12-19,21:43,75187,814109,1442109,1003515,7.492,-4.671,-6.25,2.88
2019-12-19,22:43,75171,811531,1441484,1002812,7.496,-4.432,-6.25,2.88
2019-12-19,23:43,75359,802734,1441875,1005687,7.493,-3.138,-5.50,2.88
2019-12-20,0:43,75390,809515,1441875,1005921,7.495,-3.900,-5.25,2.88
2019-12-20,1:43,74875,823484,1439078,998234,7.501,-6.346,-7.75,2.88
2019-12-20,2:43,74765,819359,1437812,996609,7.502,-5.997,-8.25,2.88
2019-12-20,3:43,74812,821718,1437656,997000,7.504,-6.252,-8.00,2.88
2019-12-20,4:43,74781,822640,1437328,996703,7.503,-6.398,-8.00,2.87
2019-12-20,5:43,74656,824765,1436234,995140,7.502,-6.832,-8.50,2.87
2019-12-20,6:43,74546,825609,1435453,993453,7.504,-7.120,-9.00,2.87
2019-12-20,7:43,74765,813937,1435593,996578,7.502,-5.332,-8.00,2.87
2019-12-20,8:43,75984,770515,1440468,1013765,7.495,1.041,-2.50,2.88
2019-12-20,9:43,78156,760578,1445812,1041203,7.506,4.053,6.25,2.89
2019-12-20,10:43,78468,747703,1447687,1045328,7.507,5.543,8.00,2.90
2019-12-20,11:43,78500,740062,1447406,1045500,7.508,6.260,7.50,2.89
2019-12-20,12:43,78671,740312,1447609,1047578,7.510,6.371,8.50,2.90
2019-12-20,13:43,77656,764828,1445890,1034484,7.507,3.168,4.00,2.89
2019-12-20,14:43,77234,765531,1444250,1029171,7.504,2.713,2.25,2.89
2019-12-20,15:43,76562,784437,1442250,1020750,7.501,0.149,-0.50,2.88
2019-12-20,16:43,76062,794968,1440343,1015078,7.493,-1.444,-2.50,2.88
2019-12-20,17:43,75671,803421,1438453,1009781,7.494,-2.845,-4.00,2.88
2019-12-20,18:43,75515,807484,1437281,1007265,7.497,-3.539,-5.00,2.87
2019-12-20,19:43,75468,808546,1436671,1006437,7.499,-3.739,-5.00,2.87
2019-12-20,20:43,75406,808187,1435921,1005703,7.498,-3.766,-5.50,2.87
2019-12-20,21:43,75437,810546,1435359,1005546,7.502,-4.056,-5.75,2.87
2019-12-20,22:43,75437,808796,1434984,1005156,7.505,-3.888,-5.75,2.87
2019-12-20,23:43,75531,809031,1434890,1005843,7.509,-3.851,-5.25,2.87
2019-12-21,0:43,75437,807187,1434203,1004781,7.508,-3.736,-5.50,2.87
2019-12-21,1:43,75656,805437,1434609,1007406,7.510,-3.291,-5.00,2.87
2019-12-21,2:43,75578,807421,1433859,1006343,7.510,-3.617,-5.25,2.87
2019-12-21,3:43,75531,807515,1433484,1006093,7.507,-3.651,-5.25,2.87
2019-12-21,4:43,75515,806718,1432984,1005546,7.510,-3.610,-5.50,2.87
2019-12-21,5:43,75484,804984,1432578,1005156,7.510,-3.446,-5.50,2.87
2019-12-21,6:43,75671,807453,1432609,1007343,7.512,-3.528,-5.00,2.87
2019-12-21,7:43,75781,789640,1432859,1009468,7.507,-1.342,-4.25,2.87
