Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-14,20:48,15,27125,1584562,1095062,0.001,140.013,24.50,3.17
2019-10-14,20:48,15,27125,1585125,1095468,0.001,140.029,24.50,3.17
2019-10-14,20:48,15,27125,1585859,1095765,0.001,140.041,24.50,3.17
2019-10-14,20:48,15,27125,1586359,1096109,0.001,140.055,24.50,3.17
2019-12-12,15:50,67640,777046,1549765,1032234,6.553,1.797,5.75,3.10
2019-12-12,15:50,67843,778171,1551421,1037656,6.538,2.091,7.75,3.10
2019-12-12,16:50,66343,775953,1558890,1015812,6.531,0.639,1.25,3.12
2019-12-12,17:50,66015,777515,1560984,1010906,6.530,0.081,0.00,3.12
2019-12-12,18:50,66718,752750,1562484,1021156,6.534,3.387,2.75,3.12
2019-12-12,19:50,66796,752750,1562187,1023093,6.529,3.527,3.00,3.12
2019-12-12,20:50,66843,751671,1561562,1023109,6.533,3.634,3.25,3.12
2019-12-12,21:50,66765,753812,1560671,1022218,6.531,3.360,3.00,3.12
2019-12-12,22:50,66812,756781,1559796,1022078,6.537,3.057,2.75,3.12
2019-12-12,23:50,66781,756375,1558828,1021609,6.537,3.063,2.75,3.12
2019-12-13,0:50,63953,765609,1557734,1019671,6.272,1.997,2.25,3.12
2019-12-13,1:50,66406,760296,1556703,1018703,6.519,2.458,2.00,3.11
2019-12-13,2:50,66296,758765,1555828,1019312,6.504,2.657,2.00,3.11
2019-12-13,3:50,66328,759640,1554875,1020281,6.501,2.641,2.25,3.11
2019-12-13,4:50,66312,747312,1553781,1019640,6.503,3.811,2.50,3.11
2019-12-13,5:50,66281,756921,1552796,1019500,6.501,2.854,2.50,3.11
2019-12-13,6:50,66171,761359,1551687,1018078,6.500,2.305,2.00,3.10
2019-12-13,7:50,66312,748656,1550812,1020312,6.499,3.728,2.50,3.10
2019-12-13,8:50,67078,731718,1550453,1029296,6.517,5.968,4.75,3.10
2019-12-13,9:50,67484,723437,1549703,1034421,6.524,7.070,6.25,3.10
2019-12-13,10:50,68859,730765,1549937,1055109,6.526,7.710,12.00,3.10
2019-12-13,11:50,67796,723562,1547234,1041000,6.513,7.477,8.50,3.09
2019-12-13,12:50,67562,725812,1546343,1044015,6.471,7.463,9.00,3.09
2019-12-13,13:50,66953,727656,1544890,1035468,6.466,6.750,6.75,3.09
2019-12-13,14:50,67062,738687,1544171,1037312,6.465,5.849,7.25,3.09
2019-12-13,15:50,66437,750437,1542625,1027937,6.463,4.097,4.75,3.09
2019-12-13,16:50,66218,755078,1541578,1024312,6.465,3.387,3.50,3.08
2019-12-13,17:50,66109,764421,1540703,1022265,6.467,2.312,3.00,3.08
2019-12-13,18:50,65968,755890,1539718,1020234,6.466,3.010,2.50,3.08
2019-12-13,19:50,65953,755359,1538906,1019781,6.467,3.030,2.50,3.08
2019-12-13,20:50,65578,776484,1537609,1014187,6.466,0.454,1.00,3.08
2019-12-13,21:50,65281,772000,1536359,1009937,6.464,0.583,0.00,3.07
2019-12-13,22:50,65531,769812,1535937,1013687,6.465,1.107,1.00,3.07
2019-12-13,23:50,65656,768078,1535203,1015562,6.465,1.432,1.25,3.07
2019-12-14,0:50,65671,763531,1534359,1015875,6.464,1.919,1.50,3.07
2019-12-14,1:50,65843,753296,1533781,1018625,6.464,3.149,2.25,3.07
2019-12-14,2:50,66171,752500,1533187,1023421,6.466,3.575,3.50,3.07
2019-12-14,3:50,66046,751343,1532218,1021906,6.463,3.579,3.00,3.06
2019-12-14,4:50,66140,752468,1531343,1022921,6.466,3.542,3.25,3.06
2019-12-14,5:50,66031,756265,1530312,1021062,6.467,3.034,2.75,3.06
2019-12-14,6:50,65859,753906,1529281,1018703,6.465,3.095,2.25,3.06
2019-12-14,7:50,65937,752234,1528578,1019609,6.467,3.326,2.50,3.06
2019-12-14,8:50,66546,734406,1528359,1028703,6.469,5.676,4.75,3.06
2019-12-14,9:50,66687,727718,1527625,1030609,6.471,6.427,5.25,3.06
2019-12-14,10:50,68078,705218,1527859,1048796,6.491,9.591,10.25,3.06
2019-12-14,11:50,68109,703750,1526734,1046437,6.509,9.581,10.00,3.05
2019-12-14,12:50,67625,701718,1525437,1041984,6.490,9.495,8.75,3.05
2019-12-14,13:50,67187,713890,1524312,1036281,6.483,8.058,7.00,3.05
2019-12-14,14:50,66609,733546,1523234,1029609,6.469,5.817,5.25,3.05
2019-12-14,15:50,66515,737156,1522515,1028390,6.468,5.395,5.00,3.05
2019-12-14,16:50,66390,749234,1521765,1027046,6.464,4.150,4.50,3.04
2019-12-14,17:50,66437,740390,1521156,1027890,6.463,5.055,4.75,3.04
2019-12-14,18:50,66343,745359,1520359,1026281,6.464,4.469,4.25,3.04
2019-12-14,19:50,66390,746953,1519718,1026781,6.466,4.351,4.50,3.04
2019-12-14,20:50,66265,749828,1518906,1024953,6.465,3.945,4.00,3.04
2019-12-14,21:50,66312,745750,1518187,1024796,6.471,4.328,4.00,3.04
2019-12-14,22:50,66218,757031,1517437,1023375,6.471,3.127,3.50,3.03
2019-12-14,23:50,66140,756375,1516703,1022187,6.470,3.105,3.25,3.03
2019-12-15,0:50,65984,757828,1515859,1019640,6.471,2.774,2.50,3.03
2019-12-15,1:50,65921,758359,1515140,1018859,6.470,2.664,2.50,3.03
2019-12-15,2:50,66125,757937,1514656,1021125,6.476,2.873,3.00,3.03
2019-12-15,3:50,65968,756765,1513875,1019406,6.471,2.863,2.50,3.03
2019-12-15,4:50,65921,764468,1513171,1018328,6.473,2.011,2.25,3.03
2019-12-15,5:50,65812,765531,1512421,1016968,6.471,1.800,1.75,3.02
2019-12-15,6:50,65296,773703,1511250,1009781,6.466,0.392,0.00,3.02
2019-12-15,7:50,65250,769531,1510562,1009156,6.466,0.779,0.00,3.02
2019-12-15,8:50,65875,755781,1510562,1017578,6.474,2.826,2.00,3.02
2019-12-15,9:50,66156,737328,1510234,1021968,6.473,4.940,3.25,3.02
2019-12-15,10:50,67515,730531,1510671,1041437,6.483,6.870,8.00,3.02
2019-12-15,11:50,66859,734234,1509656,1032765,6.474,5.963,6.25,3.02
2019-12-15,12:50,67265,723140,1509296,1040156,6.467,7.462,8.00,3.02
2019-12-15,13:50,66812,716031,1508218,1033109,6.467,7.664,6.50,3.02
2019-12-15,14:50,66828,745265,1507796,1033546,6.466,4.979,6.50,3.02
2019-12-15,15:50,66250,749453,1506578,1025078,6.463,3.990,4.00,3.01
2019-12-15,16:50,65828,764250,1505687,1018500,6.463,2.046,2.25,3.01
2019-12-15,17:50,65531,767125,1504843,1014109,6.462,1.417,1.25,3.01
2019-12-15,18:50,65390,767531,1504203,1011875,6.462,1.201,0.75,3.01
2019-12-15,19:50,65203,776968,1503406,1007984,6.469,-0.100,-0.50,3.01
2019-12-15,20:50,65046,785281,1502593,1004953,6.473,-1.251,-1.25,3.01
2019-12-15,21:50,64625,790187,1501515,998703,6.471,-2.343,-2.75,3.00
2019-12-15,22:50,64484,790515,1500796,996609,6.470,-2.568,-3.25,3.00
2019-12-15,23:50,64281,801859,1499953,993312,6.471,-4.195,-4.00,3.00
2019-12-16,0:50,63812,800953,1498640,986687,6.467,-4.731,-5.50,3.00
2019-12-16,1:50,63812,803796,1497953,985437,6.476,-5.203,-5.75,3.00
2019-12-16,2:50,63500,806109,1496890,980968,6.473,-5.948,-6.75,2.99
2019-12-16,3:50,63281,807140,1495953,977515,6.474,-6.442,-7.25,2.99
2019-12-16,4:50,63140,808281,1495046,974828,6.477,-6.877,-8.00,2.99
2019-12-16,5:50,63031,809421,1494234,973156,6.477,-7.209,-8.25,2.99
2019-12-16,6:50,62859,811796,1493375,970890,6.474,-7.778,-9.00,2.99
2019-12-16,7:50,62906,803203,1492828,971687,6.474,-6.555,-8.50,2.99
2019-12-16,8:50,63718,791093,1493625,984921,6.469,-3.719,-6.00,2.99
2019-12-16,9:50,64359,785375,1494109,993531,6.478,-2.261,-3.75,2.99
2019-12-16,10:50,66687,778703,1496140,1027218,6.492,1.248,3.75,2.99
2019-12-16,11:50,65250,786984,1494500,1005500,6.489,-1.391,-1.25,2.99
2019-12-16,12:50,64796,790671,1493125,998562,6.489,-2.410,-2.75,2.99
2019-12-16,13:50,64843,785484,1492562,998734,6.493,-1.812,-2.75,2.99
2019-12-16,14:50,64937,797343,1492406,1000265,6.492,-3.016,-2.25,2.98
2019-12-16,15:50,64218,800984,1490859,990078,6.486,-4.403,-4.75,2.98
2019-12-16,16:50,63750,804968,1489671,983515,6.482,-5.543,-6.00,2.98
2019-12-16,17:50,63390,805578,1488625,979109,6.474,-6.074,-7.25,2.98
2019-12-16,18:50,63218,809625,1487765,976328,6.475,-6.890,-7.75,2.98
2019-12-16,19:50,62781,812125,1486484,969921,6.473,-7.931,-9.00,2.97
2019-12-16,20:50,62343,814953,1485125,963843,6.468,-9.028,-10.25,2.97
2019-12-16,21:50,62156,813359,1484218,962140,6.460,-9.006,-10.75,2.97
2019-12-16,22:50,62171,812515,1483750,962609,6.459,-8.832,-10.50,2.97
2019-12-16,23:50,62062,815515,1483000,961296,6.456,-9.414,-10.75,2.97
2019-12-17,0:50,61906,813218,1482109,959296,6.453,-9.328,-11.00,2.96
2019-12-17,1:50,61968,812468,1481703,960359,6.453,-9.093,-11.00,2.96
2019-12-17,2:50,61781,817140,1480906,957843,6.450,-10.074,-11.50,2.96
2019-12-17,3:50,61531,818046,1479781,954437,6.447,-10.640,-12.25,2.96
2019-12-17,4:50,61375,816328,1478781,952015,6.447,-10.694,-12.50,2.96
2019-12-17,5:50,61281,817890,1478031,950859,6.445,-11.081,-12.75,2.96
2019-12-17,6:50,61109,814437,1477078,948500,6.443,-10.864,-13.25,2.95
2019-12-17,7:50,61406,811031,1476921,953015,6.443,-9.782,-12.25,2.95
2019-12-17,8:50,62781,803375,1479156,972765,6.454,-6.462,-8.50,2.96
