Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-14,21:3,15,27250,1590859,1116125,0.001,140.657,24.00,3.18
2019-10-14,21:3,15,27250,1590968,1116890,0.001,140.687,24.25,3.18
2019-10-14,21:3,15,27265,1591140,1117109,0.001,140.672,24.00,3.18
2019-12-12,15:46,136000,803546,1539593,1068703,12.726,1.889,6.25,3.08
2019-12-12,15:46,133078,808156,1543812,1074000,12.391,1.829,10.25,3.09
2019-12-12,16:46,129968,803000,1552859,1055343,12.315,0.953,1.25,3.11
2019-12-12,17:46,129421,801718,1554375,1051734,12.305,0.807,0.00,3.11
2019-12-12,18:46,130234,785500,1555656,1059234,12.295,2.942,2.75,3.11
2019-12-12,19:46,130437,783734,1555203,1061546,12.287,3.273,3.25,3.11
2019-12-12,20:46,130390,781359,1554515,1061265,12.286,3.478,3.50,3.11
2019-12-12,21:46,130359,784125,1553593,1060562,12.292,3.167,3.25,3.11
2019-12-12,22:46,130281,786000,1552687,1060671,12.283,2.996,3.00,3.11
2019-12-12,23:46,130343,788453,1551718,1060406,12.292,2.743,3.00,3.10
2019-12-13,0:46,130125,797687,1550359,1059203,12.285,1.764,2.50,3.10
2019-12-13,1:46,129937,791609,1547093,1057875,12.283,2.258,2.25,3.09
2019-12-13,2:46,130000,787906,1547343,1058671,12.280,2.672,2.50,3.09
2019-12-13,3:46,130109,786468,1546125,1059093,12.285,2.840,2.75,3.09
2019-12-13,4:46,130000,780921,1544906,1058750,12.279,3.344,2.50,3.09
2019-12-13,5:46,129843,786890,1543937,1058109,12.271,2.729,2.50,3.09
2019-12-13,6:46,129781,794343,1542890,1057937,12.267,1.997,2.25,3.09
2019-12-13,7:46,129906,778562,1541906,1059234,12.264,3.601,2.75,3.08
2019-12-13,8:46,130656,761656,1541859,1064593,12.273,5.528,4.50,3.08
2019-12-13,9:46,131187,750187,1541656,1068703,12.275,6.823,6.00,3.08
2019-12-13,10:46,131953,751234,1541234,1074640,12.279,7.099,8.25,3.08
2019-12-13,11:46,132703,746671,1541140,1087906,12.198,8.297,13.00,3.08
2019-12-13,12:46,131062,754890,1539734,1088250,12.043,7.608,13.25,3.08
2019-12-13,13:46,129140,747031,1537656,1072953,12.036,7.366,7.75,3.08
2019-12-13,14:46,128859,764906,1536750,1071296,12.028,5.667,7.00,3.07
2019-12-13,15:46,128187,774265,1535453,1065546,12.030,4.433,5.00,3.07
2019-12-13,16:46,127765,785078,1534406,1062203,12.028,3.191,3.75,3.07
2019-12-13,17:46,127578,786640,1533562,1060890,12.026,2.951,3.50,3.07
2019-12-13,18:46,127328,786109,1532406,1059078,12.023,2.873,2.75,3.06
