Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
8/28/2019,20:39,584093,548812,1566171,1082671,53.949,24.377,25,3.13
8/28/2019,20:39,584406,548625,1566187,1083015,53.961,24.407,25.25,3.13
8/28/2019,20:40,1077625,547609,1566421,1083031,99.501,24.492,26,3.13
8/28/2019,20:40,50453,546875,1566328,1082703,4.66,24.54,26,3.13
8/28/2019,20:40,27546,536859,1566359,1083375,2.543,25.403,26,3.13
8/28/2019,20:40,27531,525671,1566343,1083640,2.541,26.353,26,3.13
8/28/2019,20:40,27515,514828,1566343,1083531,2.539,27.266,26,3.13
9/12/2019,20:52,27515,556921,1581546,1081937,2.543,23.673,24.75,3.16
9/12/2019,21:08,1062625,550531,1595203,1084500,97.983,24.311,25.5,3.19
9/12/2019,21:08,521546,550781,1595500,1084640,48.085,24.297,25.5,3.19
9/12/2019,21:08,19750,551031,1595703,1085031,1.82,24.292,25.5,3.19
10/7/2019,13:17,23218,618015,1560656,1072296,2.165,18.204,20.5,3.12
10/7/2019,13:19,23531,618078,1563109,1072656,2.194,18.215,20.5,3.13
10/7/2019,12:29,23125,624125,1560562,1069625,2.162,17.571,19.25,3.12
10/7/2019,12:30,22828,624187,1563859,1068109,2.137,17.493,19,3.13
10/7/2019,12:31,22796,627312,1563781,1067546,2.135,17.207,18.5,3.13
10/7/2019,12:32,22781,628187,1563671,1066890,2.135,17.103,18.5,3.13
10/7/2019,12:33,22890,629187,1563593,1066312,2.147,16.991,18.25,3.13
10/7/2019,12:41,23125,625671,1562921,1069343,2.163,17.43,19.25,3.13
10/7/2019,12:42,23453,624031,1564390,1068515,2.195,17.526,19.25,3.13
2019-10-7,12:49,23625,616234,1561531,1069718,2.209,18.228,19.75,3.12
2019-10-7,12:59,30218,608250,1563625,1068265,2.829,18.819,19.25,3.13
2019-10-7,13:9,29937,609171,1562671,1067593,2.804,18.711,18.75,3.13
2019-10-7,13:19,29828,604093,1561937,1067015,2.795,19.105,18.75,3.12
2019-10-7,13:29,29718,605796,1561406,1066281,2.787,18.929,18.50,3.12
2019-10-7,13:39,29640,592296,1561031,1066859,2.778,20.075,18.75,3.12
2019-10-7,13:49,29578,590875,1560703,1067234,2.771,20.210,18.75,3.12
2019-10-7,13:59,29484,591109,1560406,1067281,2.763,20.193,18.75,3.12
2019-10-7,14:9,29437,595781,1560140,1067328,2.758,19.808,18.75,3.12
2019-10-7,14:19,29406,592765,1559875,1067156,2.756,20.050,18.75,3.12
2019-10-7,14:29,29375,591921,1559656,1067765,2.751,20.148,18.75,3.12
2019-10-7,14:39,29343,591218,1559468,1067968,2.748,20.215,19.00,3.12
2019-10-7,14:49,29328,592906,1559281,1068468,2.745,20.099,19.25,3.12
2019-10-7,14:59,29328,585984,1559109,1068984,2.744,20.696,19.50,3.12
2019-10-7,15:9,29343,590703,1558890,1069187,2.744,20.314,19.50,3.12
2019-10-7,15:19,29328,590140,1558640,1069359,2.743,20.368,19.50,3.12
2019-10-7,15:29,29328,591875,1558437,1069765,2.742,20.243,19.50,3.12
2019-10-7,15:39,29296,595015,1558203,1068968,2.741,19.947,19.50,3.12
2019-10-7,15:49,29281,595437,1557968,1068984,2.739,19.913,19.25,3.12
2019-10-7,15:59,29265,593609,1557765,1068609,2.739,20.047,19.25,3.12
2019-10-7,16:9,29250,596203,1557609,1068203,2.738,19.813,19.00,3.12
2019-10-7,16:19,29234,593328,1557453,1068250,2.737,20.054,19.25,3.11
2019-10-7,16:29,29218,597078,1557281,1067968,2.736,19.730,19.00,3.11
2019-10-7,16:39,29187,601890,1557109,1067625,2.734,19.316,19.00,3.11
2019-10-7,16:49,29171,605625,1556921,1067046,2.734,18.979,18.75,3.11
2019-10-7,16:59,29140,606390,1556750,1066390,2.733,18.885,18.50,3.11
2019-10-7,17:9,29125,608171,1556593,1066062,2.732,18.722,18.25,3.11
2019-10-7,17:19,29109,611859,1556421,1065062,2.733,18.368,18.00,3.11
2019-10-7,17:29,29109,615234,1556250,1065109,2.733,18.091,17.75,3.11
2019-10-7,17:39,29078,618390,1556078,1064078,2.733,17.779,17.50,3.11
2019-10-7,17:49,29078,622250,1555906,1063968,2.733,17.453,17.50,3.11
