Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-14,21:1,15,26890,1592406,1071500,0.001,139.433,23.25,3.18
2019-10-14,21:1,15,26921,1592531,1071109,0.001,139.365,23.50,3.19
2019-10-14,21:1,15,26921,1593015,1071156,0.001,139.367,23.50,3.19
2019-12-12,15:32,112718,766546,1558781,1031015,10.933,2.748,9.50,3.12
2019-12-12,15:32,111453,764468,1560531,1028968,10.832,2.803,10.25,3.12
2019-12-12,16:32,109515,766453,1563015,1009796,10.845,1.149,2.00,3.13
2019-12-12,17:32,108578,770203,1563796,1004578,10.808,0.340,0.00,3.13
2019-12-12,18:32,109359,753390,1564687,1010750,10.820,2.556,2.25,3.13
2019-12-12,19:32,109625,748140,1564593,1013796,10.813,3.306,3.25,3.13
2019-12-12,20:32,109671,747328,1563718,1014218,10.813,3.418,3.25,3.13
2019-12-12,21:32,109656,754250,1562750,1014000,10.814,2.713,3.25,3.13
2019-12-12,22:32,109656,748875,1561796,1013906,10.815,3.242,3.25,3.12
2019-12-12,23:32,109562,748375,1560640,1012859,10.817,3.215,3.00,3.12
2019-12-13,0:32,109453,755453,1559515,1011562,10.820,2.409,2.75,3.12
2019-12-13,1:32,109375,749937,1558406,1011000,10.818,2.922,2.50,3.12
2019-12-13,2:32,109484,745843,1557453,1011609,10.823,3.374,2.75,3.11
2019-12-13,3:32,109593,748390,1556437,1012218,10.827,3.166,3.00,3.11
2019-12-13,4:32,109515,749546,1555218,1010843,10.834,2.949,2.25,3.11
2019-12-13,5:32,109593,751515,1554281,1011390,10.836,2.793,2.75,3.11
2019-12-13,6:32,109484,753671,1553125,1010968,10.830,2.544,2.50,3.11
2019-12-13,7:32,109406,748281,1552046,1010843,10.823,3.075,2.50,3.10
2019-12-13,8:32,110359,728578,1551890,1018171,10.839,5.515,5.25,3.10
2019-12-13,9:32,110562,724578,1551015,1020687,10.832,6.064,6.25,3.10
2019-12-13,10:32,111765,708750,1551015,1031031,10.840,8.196,10.25,3.10
2019-12-13,11:32,110406,712109,1548656,1024406,10.778,7.470,7.50,3.10
2019-12-13,12:32,109546,719265,1547671,1025109,10.686,6.853,8.00,3.10
2019-12-13,13:32,109359,717703,1546562,1024812,10.671,6.979,8.00,3.09
2019-12-13,14:32,109062,726718,1545375,1022640,10.665,5.993,6.75,3.09
2019-12-13,15:32,108609,732093,1543937,1018671,10.662,5.214,5.25,3.09
2019-12-13,16:32,108125,742015,1542734,1014812,10.655,3.983,3.75,3.09
2019-12-13,17:32,107984,748062,1541796,1013625,10.653,3.302,3.50,3.08
2019-12-13,18:32,107640,754578,1540484,1010265,10.655,2.400,2.50,3.08
2019-12-13,19:32,107750,749890,1539781,1011187,10.656,2.940,2.75,3.08
2019-12-13,20:32,107500,763656,1538765,1008875,10.655,1.366,2.00,3.08
2019-12-13,21:32,106828,769156,1537031,1002968,10.651,0.320,0.00,3.07
2019-12-13,22:32,107109,760359,1536421,1005203,10.655,1.420,0.75,3.07
2019-12-13,23:32,107140,758546,1535687,1005515,10.655,1.631,1.00,3.07
2019-12-14,0:32,107203,759062,1534875,1006125,10.655,1.626,1.00,3.07
2019-12-14,1:32,107531,750750,1534437,1009453,10.652,2.725,2.25,3.07
2019-12-14,2:32,107859,744390,1533765,1012328,10.655,3.571,3.00,3.07
2019-12-14,3:32,107984,750187,1533062,1013375,10.656,3.072,3.50,3.07
2019-12-14,4:32,107968,739390,1532078,1013562,10.652,4.151,3.50,3.06
2019-12-14,5:32,107890,743500,1531062,1012640,10.654,3.681,3.25,3.06
2019-12-14,6:32,107546,753203,1529890,1009531,10.653,2.483,2.25,3.06
2019-12-14,7:32,107734,743984,1529296,1011390,10.652,3.542,2.75,3.06
2019-12-14,8:32,108359,727843,1529093,1016578,10.659,5.476,5.00,3.06
2019-12-14,9:32,108406,727265,1528296,1017421,10.655,5.589,5.25,3.06
2019-12-14,10:32,109500,705781,1528500,1027218,10.660,8.228,9.00,3.06
