Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-14,21:41,15,27328,1594187,1098703,0.001,139.829,25.50,3.19
2019-10-14,21:41,15,27328,1594062,1099046,0.001,139.843,25.50,3.19
2019-10-14,21:41,15,27328,1594265,1099000,0.001,139.841,25.50,3.19
2019-12-12,15:58,95234,777093,1545984,1037515,9.179,2.187,4.75,3.09
2019-12-12,15:58,95328,777640,1549359,1038468,9.180,2.203,5.75,3.10
2019-12-12,16:58,90781,780671,1558671,1022437,8.879,0.674,1.25,3.12
2019-12-12,17:58,90500,774421,1560468,1020312,8.870,1.151,0.50,3.12
2019-12-12,18:58,91140,761000,1561437,1028687,8.860,3.123,3.00,3.12
2019-12-12,19:58,91171,753140,1561000,1029218,8.858,3.926,3.25,3.12
2019-12-12,20:58,91140,748484,1560218,1029406,8.854,4.387,3.25,3.12
2019-12-12,21:58,91062,752890,1559234,1029156,8.848,3.946,3.25,3.12
2019-12-12,22:58,91046,750937,1558312,1029343,8.845,4.147,3.00,3.12
2019-12-12,23:58,90921,758875,1557234,1027953,8.845,3.278,2.75,3.11
2019-12-13,0:58,90812,756531,1556031,1027250,8.840,3.457,2.50,3.11
2019-12-13,1:58,90765,753718,1555046,1026093,8.846,3.648,2.50,3.11
2019-12-13,2:58,90859,755000,1554046,1026218,8.854,3.532,2.50,3.11
2019-12-13,3:58,90921,755843,1553015,1026250,8.860,3.452,2.50,3.11
2019-12-13,4:58,91218,755984,1552031,1027531,8.877,3.530,2.75,3.10
2019-12-13,5:58,91062,756656,1550937,1026531,8.871,3.393,2.50,3.10
2019-12-13,6:58,91031,761703,1549843,1026078,8.872,2.864,2.25,3.10
2019-12-13,7:58,91703,741906,1549281,1031421,8.891,5.152,3.75,3.10
2019-12-13,8:58,92312,724234,1548890,1037890,8.894,7.219,5.75,3.10
2019-12-13,9:58,93156,719828,1548546,1046500,8.902,8.156,8.50,3.10
2019-12-13,10:58,94312,734968,1548109,1059500,8.902,7.606,12.50,3.10
2019-12-13,11:58,93187,723046,1545906,1048187,8.890,7.972,9.25,3.09
2019-12-13,12:58,92578,725031,1544390,1042203,8.883,7.420,7.25,3.09
2019-12-13,13:58,92296,731171,1543296,1039203,8.881,6.668,6.25,3.09
2019-12-13,14:58,92140,734031,1542281,1037328,8.882,6.282,5.75,3.08
2019-12-13,15:58,91781,744140,1541031,1033218,8.883,5.063,4.50,3.08
2019-12-13,16:58,91578,746421,1539937,1030968,8.883,4.693,3.75,3.08
2019-12-13,17:58,91328,766328,1538906,1028125,8.883,2.558,3.00,3.08
2019-12-13,18:58,91218,756328,1537875,1027265,8.880,3.478,2.75,3.08
2019-12-13,19:58,91218,753593,1537000,1026812,8.884,3.711,2.50,3.07
2019-12-13,20:58,90687,774265,1535593,1021156,8.881,1.232,1.00,3.07
2019-12-13,21:58,90500,769000,1534359,1018812,8.883,1.588,0.50,3.07
2019-12-13,22:58,90796,766562,1533906,1021968,8.884,2.075,1.25,3.07
2019-12-13,23:58,90781,770296,1533078,1021937,8.883,1.696,1.25,3.07
2019-12-14,0:58,91000,759656,1532390,1024062,8.886,2.919,2.00,3.06
2019-12-14,1:58,91250,753468,1531796,1026750,8.887,3.719,2.75,3.06
2019-12-14,2:58,91640,750906,1531203,1030562,8.892,4.236,3.75,3.06
2019-12-14,3:58,91484,747343,1530140,1029000,8.891,4.468,3.25,3.06
2019-12-14,4:58,91484,754203,1529312,1029187,8.889,3.821,3.50,3.06
2019-12-14,5:58,91296,757375,1528328,1027703,8.883,3.407,3.00,3.06
2019-12-14,6:58,91187,757578,1527312,1026234,8.886,3.281,2.50,3.05
2019-12-14,7:58,91500,741031,1526640,1028828,8.894,5.058,3.25,3.05
2019-12-14,8:58,92234,730734,1526562,1036859,8.896,6.556,5.50,3.05
2019-12-14,9:58,92625,719281,1525906,1040859,8.899,7.856,7.00,3.05
2019-12-14,10:58,93984,695859,1526125,1054812,8.910,10.757,11.25,3.05
2019-12-14,11:58,93734,697312,1525093,1052390,8.907,10.492,10.75,3.05
2019-12-14,12:58,92937,721359,1523531,1044093,8.901,7.870,8.00,3.05
2019-12-14,13:58,92703,701390,1522515,1041250,8.903,9.481,7.25,3.05
2019-12-14,14:58,91984,736453,1521312,1034250,8.894,5.854,5.00,3.04
2019-12-14,15:58,92046,732687,1520718,1034796,8.895,6.241,5.25,3.04
2019-12-14,16:58,91937,741453,1519953,1033890,8.892,5.362,4.75,3.04
2019-12-14,17:58,91968,735171,1519296,1034296,8.892,5.977,5.00,3.04
2019-12-14,18:58,91875,740390,1518562,1033484,8.890,5.435,4.75,3.04
2019-12-14,19:58,91843,742515,1517828,1033000,8.891,5.202,4.75,3.04
2019-12-14,20:58,91656,747140,1516984,1031234,8.888,4.643,4.25,3.03
2019-12-14,21:58,91625,746765,1516265,1031234,8.885,4.678,4.00,3.03
2019-12-14,22:58,91500,753718,1515500,1030140,8.882,3.935,3.75,3.03
2019-12-14,23:58,91328,755062,1514703,1028375,8.881,3.680,3.50,3.03
2019-12-15,0:58,91109,758187,1513890,1026468,8.876,3.238,2.75,3.03
2019-12-15,1:58,91093,760796,1513125,1026062,8.878,2.952,2.75,3.03
2019-12-15,2:58,91187,759156,1512609,1027375,8.876,3.209,3.00,3.03
2019-12-15,3:58,91078,754656,1511843,1026187,8.875,3.563,2.75,3.02
2019-12-15,4:58,90921,759875,1511062,1024578,8.874,2.935,2.50,3.02
2019-12-15,5:58,90656,769421,1510187,1021828,8.872,1.776,1.50,3.02
2019-12-15,6:58,90125,771859,1508875,1016515,8.866,1.118,0.00,3.02
2019-12-15,7:58,90265,759937,1508312,1017500,8.871,2.404,0.25,3.02
2019-12-15,8:58,90906,753046,1508437,1024484,8.873,3.598,2.25,3.02
2019-12-15,9:58,91234,740203,1508109,1027781,8.877,5.065,3.25,3.02
2019-12-15,10:58,92765,722609,1508718,1044078,8.885,7.756,8.00,3.02
