Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2019-10-16,20:54,15,26468,1569359,1124828,0.001,142.308,23.25,3.14
2019-10-16,20:54,15,26484,1575156,1124828,0.001,142.281,23.50,3.15
2019-10-16,20:54,15,26484,1578078,1125281,0.001,142.299,23.50,3.16
2019-12-12,18:2,159921,811953,1543109,1085625,14.731,2.298,4.50,3.09
2019-12-12,16:3,160296,813421,1548515,1087234,14.743,2.273,4.75,3.10
2019-12-12,16:3,160468,814843,1551828,1088828,14.738,2.251,6.00,3.10
2019-12-12,17:3,156046,827656,1559984,1079296,14.458,0.324,0.50,3.12
2019-12-12,18:3,155968,819234,1562109,1078859,14.457,1.114,0.50,3.12
2019-12-12,19:3,156656,786296,1563203,1083656,14.456,4.536,3.00,3.13
2019-12-12,20:3,156640,793312,1562671,1083953,14.451,3.915,3.00,3.13
2019-12-12,21:3,156687,788125,1562062,1084437,14.449,4.421,3.25,3.12
2019-12-12,22:3,147031,790562,1561093,1083812,13.566,4.157,3.00,3.12
2019-12-12,23:3,147000,792265,1560187,1083562,13.566,3.985,3.00,3.12
2019-12-13,0:3,146953,796000,1559109,1082984,13.569,3.602,2.50,3.12
2019-12-13,1:3,146890,796921,1558015,1082265,13.572,3.468,2.25,3.12
2019-12-13,2:3,146921,798312,1557031,1082312,13.575,3.343,2.00,3.11
2019-12-13,3:3,146687,801625,1556093,1082015,13.557,3.014,2.25,3.11
2019-12-13,4:3,146750,799734,1554968,1082234,13.560,3.205,2.25,3.11
2019-12-13,5:3,146843,797250,1554062,1082375,13.567,3.445,2.50,3.11
2019-12-13,6:3,146890,800359,1552953,1082390,13.571,3.158,2.50,3.11
2019-12-13,7:3,146828,798234,1551921,1082171,13.568,3.340,2.25,3.10
2019-12-13,8:3,147734,789687,1551843,1088234,13.576,4.530,5.50,3.10
2019-12-13,9:3,148000,768359,1550921,1089562,13.583,6.514,6.25,3.10
2019-12-13,10:3,148031,768968,1549671,1089875,13.582,6.480,6.25,3.10
2019-12-13,11:3,148406,764296,1548890,1092046,13.590,7.021,7.50,3.10
2019-12-13,12:3,147250,756750,1547984,1095062,13.447,7.855,9.50,3.10
2019-12-13,13:3,145406,758375,1546296,1090828,13.330,7.462,7.25,3.09
2019-12-13,14:3,145468,767593,1545375,1092203,13.319,6.744,7.50,3.09
2019-12-13,15:3,145078,777125,1544062,1089312,13.318,5.725,6.25,3.09
2019-12-13,16:3,144515,784781,1542734,1085437,13.314,4.790,4.25,3.09
2019-12-13,17:3,144421,789640,1541812,1084578,13.316,4.293,3.50,3.08
2019-12-13,18:3,144171,810031,1540703,1082640,13.317,2.268,2.75,3.08
2019-12-13,19:3,144062,801562,1539875,1081796,13.317,3.005,2.50,3.08
2019-12-13,20:3,144109,800281,1539046,1082171,13.317,3.150,2.50,3.08
2019-12-13,21:3,143578,822218,1537562,1078453,13.313,0.794,0.75,3.08
2019-12-13,22:3,143484,817359,1536562,1078031,13.310,1.235,0.25,3.07
2019-12-13,23:3,143687,816000,1536062,1079406,13.312,1.467,1.00,3.07
2019-12-14,0:3,143625,816765,1535234,1079125,13.309,1.373,1.00,3.07
2019-12-14,1:3,143796,805171,1534578,1080578,13.307,2.581,2.00,3.07
2019-12-14,2:3,144000,800750,1533953,1082140,13.307,3.104,2.50,3.07
2019-12-14,3:3,144265,792062,1533421,1084250,13.306,4.050,3.75,3.07
2019-12-14,4:3,144078,787406,1532343,1083171,13.302,4.403,3.25,3.06
2019-12-14,5:3,144125,789515,1531500,1083109,13.307,4.206,3.25,3.06
2019-12-14,6:3,144000,801500,1530437,1082312,13.305,3.046,2.50,3.06
2019-12-14,7:3,143921,794843,1529515,1081750,13.304,3.625,2.50,3.06
2019-12-14,8:3,144484,787796,1529296,1085890,13.306,4.547,4.50,3.06
2019-12-14,9:3,144703,781859,1528765,1087546,13.305,5.190,5.50,3.06
2019-12-14,10:3,144796,763734,1527968,1088203,13.306,6.835,6.00,3.06
2019-12-14,11:3,145546,746437,1527812,1092906,13.317,8.610,8.25,3.06
2019-12-14,12:3,146281,737234,1527421,1097562,13.328,9.656,11.00,3.05
2019-12-14,13:3,145546,756718,1525703,1092093,13.327,7.681,8.00,3.05
2019-12-14,14:3,145515,746875,1524750,1092000,13.326,8.520,7.75,3.05
2019-12-14,15:3,144718,772125,1523453,1086812,13.316,6.010,5.00,3.05
2019-12-14,16:3,144765,773750,1522875,1087109,13.317,5.885,5.25,3.05
2019-12-14,17:3,144625,781890,1522093,1086093,13.316,5.093,4.50,3.04
2019-12-14,18:3,144671,778703,1521531,1086468,13.316,5.403,5.00,3.04
2019-12-14,19:3,144609,781046,1520781,1085828,13.318,5.152,4.75,3.04
2019-12-14,20:3,144578,786703,1520046,1085406,13.320,4.614,4.50,3.04
2019-12-14,21:3,144484,789656,1519203,1084578,13.322,4.291,4.00,3.04
2019-12-14,22:3,144406,790203,1518515,1083921,13.323,4.198,3.75,3.04
2019-12-14,23:3,144343,795156,1517734,1083453,13.322,3.712,3.50,3.04
2019-12-15,0:3,144218,797265,1517015,1082875,13.318,3.478,3.25,3.03
2019-12-15,1:3,144093,799968,1516187,1081687,13.321,3.146,2.75,3.03
2019-12-15,2:3,144062,802953,1515500,1081578,13.320,2.860,2.50,3.03
2019-12-15,3:3,144125,801875,1514937,1081843,13.322,2.979,2.75,3.03
2019-12-15,4:3,144093,801156,1514234,1081656,13.322,3.033,2.50,3.03
2019-12-15,5:3,143968,804812,1513437,1080781,13.321,2.629,2.00,3.03
2019-12-15,6:3,143640,819531,1512562,1078593,13.317,1.066,1.00,3.03
2019-12-15,7:3,143265,820937,1511484,1075906,13.316,0.729,0.00,3.02
2019-12-15,8:3,143390,808593,1511015,1077015,13.314,2.004,0.50,3.02
2019-12-15,9:3,143875,800656,1511000,1080281,13.318,2.984,2.00,3.02
2019-12-15,10:3,144312,783531,1510687,1082812,13.328,4.731,3.25,3.02
2019-12-15,11:3,144859,766500,1510828,1087218,13.324,6.532,5.75,3.02
2019-12-15,12:3,145078,757546,1510437,1091687,13.289,7.585,8.00,3.02
2019-12-15,13:3,144281,751390,1509593,1089281,13.246,7.972,6.75,3.02
2019-12-15,14:3,144250,761046,1509062,1091140,13.220,7.249,7.50,3.02
2019-12-15,15:3,143609,778359,1507968,1087484,13.206,5.499,5.50,3.02
2019-12-15,16:3,143000,792453,1506921,1083593,13.197,3.970,3.75,3.01
2019-12-15,17:3,142453,804625,1506000,1080296,13.186,2.613,2.00,3.01
2019-12-15,18:3,142109,812500,1505171,1078093,13.182,1.708,0.75,3.01
2019-12-15,19:3,141968,816984,1504546,1077296,13.178,1.217,0.75,3.01
2019-12-15,20:3,141531,827187,1503609,1074859,13.167,0.033,-0.75,3.01
2019-12-15,21:3,141312,838109,1502750,1073359,13.165,-1.187,-1.50,3.01
2019-12-15,22:3,140781,844750,1501671,1070187,13.155,-2.133,-3.00,3.00
2019-12-15,23:3,140656,847468,1500875,1069093,13.157,-2.511,-3.50,3.00
2019-12-16,0:3,140281,857984,1499812,1066578,13.152,-3.862,-4.75,3.00
2019-12-16,1:3,140015,860062,1498781,1064921,13.148,-4.239,-5.50,3.00
2019-12-16,2:3,140171,866968,1497906,1063578,13.179,-5.139,-6.00,3.00
2019-12-16,3:3,139984,870515,1496843,1061859,13.183,-5.708,-7.00,2.99
2019-12-16,4:3,139687,874140,1495859,1060328,13.174,-6.279,-7.50,2.99
2019-12-16,5:3,139531,876984,1494968,1059375,13.171,-6.710,-8.00,2.99
2019-12-16,6:3,139390,878656,1494093,1058484,13.169,-6.999,-8.50,2.99
2019-12-16,7:3,139281,878296,1493156,1057578,13.170,-7.047,-8.75,2.99
2019-12-16,8:3,140250,862390,1494281,1064671,13.173,-4.521,-5.50,2.99
2019-12-16,9:3,140796,860312,1494531,1067921,13.184,-3.999,-4.00,2.99
2019-12-16,10:3,140671,846406,1494125,1067015,13.184,-2.573,-4.50,2.99
2019-12-16,11:3,141812,839906,1494875,1073468,13.211,-1.362,-1.25,2.99
2019-12-16,12:3,141421,851390,1493921,1071890,13.194,-2.692,-2.25,2.99
2019-12-16,13:3,141125,848296,1493093,1070156,13.187,-2.509,-3.25,2.99
2019-12-16,14:3,141812,839218,1493359,1074312,13.200,-1.224,-1.00,2.99
2019-12-16,15:3,141078,854156,1492109,1069984,13.185,-3.149,-3.25,2.98
2019-12-16,16:3,140390,861171,1490578,1065234,13.179,-4.334,-5.25,2.98
2019-12-16,17:3,139968,869187,1489359,1062281,13.176,-5.514,-6.50,2.98
2019-12-16,18:3,139640,872859,1488343,1060218,13.171,-6.138,-7.50,2.98
2019-12-16,19:3,139500,875031,1487453,1059125,13.171,-6.502,-8.00,2.97
2019-12-16,20:3,138953,884687,1485921,1055578,13.164,-8.036,-9.75,2.97
2019-12-16,21:3,138656,887609,1484562,1053750,13.158,-8.598,-10.25,2.97
2019-12-16,22:3,138546,887406,1483703,1052953,13.158,-8.657,-10.75,2.97
2019-12-16,23:3,138562,889421,1483187,1053281,13.155,-8.879,-10.75,2.97
2019-12-17,0:3,138437,887953,1482406,1052390,13.155,-8.788,-11.00,2.96
2019-12-17,1:3,138375,889562,1481546,1051984,13.154,-9.039,-11.00,2.96
2019-12-17,2:3,138421,885359,1481250,1052281,13.154,-8.469,-10.75,2.96
2019-12-17,3:3,138234,890609,1480281,1051156,13.151,-9.265,-11.50,2.96
2019-12-17,4:3,138000,897000,1478937,1049250,13.152,-10.327,-12.25,2.96
2019-12-17,5:3,137875,894312,1478015,1048625,13.148,-10.037,-12.50,2.96
2019-12-17,6:3,137781,897859,1477140,1047906,13.148,-10.599,-12.75,2.95
2019-12-17,7:3,137656,900453,1476359,1047000,13.148,-11.062,-13.00,2.95
2019-12-17,8:3,139593,890078,1479687,1060750,13.160,-8.168,-7.50,2.96
2019-12-17,9:3,139968,873250,1480453,1063437,13.162,-5.875,-6.00,2.96
2019-12-17,10:3,140312,858171,1481140,1065875,13.164,-3.945,-4.75,2.96
2019-12-17,11:3,141000,854890,1481875,1070578,13.170,-3.177,-2.75,2.96
2019-12-17,12:3,141890,845406,1482359,1076953,13.175,-1.647,0.50,2.96
2019-12-17,13:3,141218,835000,1481500,1071671,13.177,-1.004,-2.00,2.96
2019-12-17,14:3,141828,843250,1481734,1075906,13.182,-1.510,-0.25,2.96
2019-12-17,15:3,141218,843562,1480796,1071468,13.180,-1.903,-2.25,2.96
2019-12-17,16:3,140515,855875,1479234,1066656,13.173,-3.624,-4.50,2.96
